location	South America	-13.083583	-58.470721
location	Anguilla	18.22	-63.07
location	Antigua And Barbuda	17.06	-61.8
location	Aruba	12.52	-69.97
location	Barbados	13.19	-59.54
location	Belize	17.19	-88.5
location	Bermuda	32.32	-64.76
location	Bonaire	12.2	-68.26
location	British Virgin Islands	18.42	-64.64
location	Canada	56.13	-106.35
location	Cayman Islands	19.51	-80.57
location	Costa Rica	9.75	-83.75
location	Cuba	21.52	-77.78
location	Curacao	12.17	-68.99
location	Dominica	15.41	-61.37
location	Dominican Republic	18.74	-70.16
location	El Salvador	13.79	-88.9
location	Greenland	71.71	-42.6
location	Grenada	12.26	-61.6
location	Guadeloupe	17	-62.07
location	Guatemala	15.78	-90.23
location	Haiti	18.97	-72.29
location	Honduras	15.2	-86.24
location	Jamaica	18.11	-77.3
location	Martinique	14.64	-61.02
location	Mexico	23.63	-102.55
location	Montserrat	16.74	-62.19
location	Netherlands Antilles	12.23	-69.06
location	Nicaragua	12.87	-85.21
location	Panama	8.54	-80.78
location	Puerto Rico	18.22	-66.59
location	Saint Barthelemy	17.9	-62.83
location	Saint Kitts And Nevis	17.36	-62.78
location	Saint Lucia	13.91	-60.98
location	Saint Martin	18.07	-63.05
location	Saint Pierre And Miquelon	46.94	-56.27
location	Saint Vincent And The Grenadines	12.98	-61.29
location	Sint Maarten	18.03	-63.05
location	The Bahamas	25.03	-77.4
location	Trinidad And Tobago	10.69	-61.22
location	Turks And Caicos Islands	21.69	-71.8
location	US Virgin Islands	18.34	-64.9
location	Wisconsin	44.500000	-89.500000
location	West Virginia	39.000000	-80.500000
location	Vermont	44.000000	-72.699997
location	South Dakota	44.500000	-100.000000
location	Rhode Island	41.742325	-71.742332
location	Oregon	44.000000	-120.500000
location	New York	43.000000	-75.000000
location	New Hampshire	44.000000	-71.500000
location	Nebraska	41.500000	-100.000000
location	Kansas	38.500000	-98.000000
location	Mississippi	33.000000	-90.000000
location	Illinois	40.000000	-89.000000
location	Delaware	39.000000	-75.500000
location	Connecticut	41.599998	-72.699997
location	Arkansas	34.799999	-92.199997
location	Indiana	40.273502	-86.126976
location	Missouri	38.573936	-92.603760
location	Florida	27.994402	-81.760254
location	Nevada	39.876019	-117.224121
location	Maine	45.367584	-68.972168
location	Michigan	44.182205	-84.506836
location	Georgia	33.247875	-83.441162
location	Hawaii	19.741755	-155.844437
location	Alaska	66.160507	-153.369141
location	Tennessee	35.860119	-86.660156
location	Virginia	37.926868	-78.024902
location	New Jersey	39.833851	-74.871826
location	Kentucky	37.839333	-84.270020
location	North Dakota	47.650589	-100.437012
location	Minnesota	46.392410	-94.636230
location	Oklahoma	36.084621	-96.921387
location	Montana	46.965260	-109.533691
location	Washington	47.751076	-120.740135
location	Utah	39.419220	-111.950684
location	Colorado	39.113014	-105.358887
location	Ohio	40.367474	-82.996216
location	Alabama	32.318230	-86.902298
location	Iowa	42.032974	-93.581543
location	New Mexico	34.307144	-106.018066
location	South Carolina	33.836082	-81.163727
location	Pennsylvania	41.203323	-77.194527
location	Arizona	34.048927	-111.093735
location	Maryland	39.045753	-76.641273
location	Massachusetts	42.407211	-71.382439
location	California	36.778259	-119.417931
location	Idaho	44.068203	-114.742043
location	Wyoming	43.075970	-107.290283
location	North Carolina	35.782169	-80.793457
location	Louisiana	30.391830	-92.329102
location	District of Columbia	38.942142	-77.025955
location	Anderson county	31.8287153846154	-95.7132769230769
location	Andrews county	32.3201	-102.5409
location	Angelina county	31.2956333333333	-94.6765555555556
location	Aransas county	28.0351	-97.0678333333333
location	Archer county	33.61176	-98.63046
